,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bredasdorp,ZA,-34.5322,20.0403,55.92,89,4,8.3,clear sky
79,Demyansk,RU,57.643,32.466,44.33,84,100,7.65,overcast clouds
80,Muroto,JP,33.2833,134.15,76.3,66,87,7.81,overcast clouds
81,Pauini,BR,-7.7136,-66.9764,93.74,39,100,5.12,overcast clouds
82,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,87,72,14.25,broken clouds
83,Beyneu,KZ,45.3167,55.2,54.19,36,0,18.59,clear sky
84,Taoudenni,ML,22.6783,-3.9836,98.01,20,11,7.38,few clouds
85,Amarante Do Maranhao,BR,-5.5667,-46.7422,100.78,16,40,6.22,scattered clouds
86,Gat,IL,31.61,34.7642,78.4,78,0,1.45,clear sky
87,Butaritari,KI,3.0707,172.7902,81.36,78,58,17.25,light rain
88,Umkomaas,ZA,-30.2067,30.7978,71.67,88,87,11.14,overcast clouds
89,Barrow,US,71.2906,-156.7887,26.62,80,100,11.5,overcast clouds
90,Burnie,AU,-41.0667,145.9167,46.92,80,91,3.65,overcast clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,75.16,89,79,5.99,broken clouds
92,Teguldet,RU,57.3064,88.1667,25.66,89,34,2.62,scattered clouds
93,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,75,12.66,broken clouds
94,Georgetown,MY,5.4112,100.3354,79.9,89,20,4.61,few clouds
95,Santa Rosa,PH,14.3122,121.1114,82.38,83,100,10.69,overcast clouds
96,Mingaora,PK,34.7758,72.3625,66.45,60,0,6.13,clear sky
97,Mahajanga,MG,-15.7167,46.3167,71.62,78,0,1.14,clear sky
98,Nouadhibou,MR,20.931,-17.0347,75.18,64,0,13.8,sand
99,Leh,IN,34.1667,77.5833,48.09,34,0,4.43,clear sky
100,Salihorsk,BY,52.7876,27.5415,45.43,92,100,12.93,overcast clouds
101,Port Lincoln,AU,-34.7333,135.8667,60.51,73,100,8.77,moderate rain
102,Hami,CN,42.8,93.45,43.32,17,3,8.12,clear sky
103,Pangnirtung,CA,66.1451,-65.7125,33.06,49,0,5.19,clear sky
104,Maragogi,BR,-9.0122,-35.2225,78.21,73,62,11.01,broken clouds
105,Shemysheyka,RU,52.892,45.3928,60.26,81,100,12.5,overcast clouds
106,Lompoc,US,34.6391,-120.4579,72.57,73,100,6.91,overcast clouds
107,Buzuluk,RU,52.7807,52.2635,58.73,46,97,15.77,overcast clouds
108,Liku,ID,-0.7275,119.8922,75.24,93,100,1.39,overcast clouds
109,Constitucion,CL,-35.3333,-72.4167,61.34,68,23,8.01,few clouds
110,Severo-Kurilsk,RU,50.6789,156.125,44.1,70,94,9.4,overcast clouds
111,Mar Del Plata,AR,-38.0023,-57.5575,55.42,73,0,18.41,clear sky
112,Hilo,US,19.7297,-155.09,86.29,68,0,4.61,clear sky
113,Sulina,RO,45.1559,29.6536,61.11,56,7,12.91,clear sky
114,Kruisfontein,ZA,-34.0033,24.7314,62.89,93,0,7.83,clear sky
115,Guerrero Negro,MX,27.9769,-114.0611,73.53,60,0,13.31,clear sky
116,Klaksvik,FO,62.2266,-6.589,50.92,82,15,25.3,few clouds
117,Pevek,RU,69.7008,170.3133,31.06,96,100,8.08,overcast clouds
118,Provideniya,RU,64.3833,-173.3,34.72,80,13,9.22,few clouds
119,Olafsvik,IS,64.8945,-23.7142,45.45,86,100,17.4,moderate rain
120,Amga,RU,60.8953,131.9608,24.49,84,100,6.24,overcast clouds
121,Zhigansk,RU,66.7697,123.3711,20.08,87,80,4.14,broken clouds
122,Salalah,OM,17.0151,54.0924,80.69,83,75,10.36,broken clouds
123,Strai,NO,58.2,7.9,52.39,77,0,8.05,light rain
124,Antalaha,MG,-14.9003,50.2788,65.91,83,0,7.16,clear sky
125,Odweyne,SO,9.4092,45.064,76.46,51,42,8.19,scattered clouds
126,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,100,5.75,overcast clouds
127,San Cristobal,VE,7.7669,-72.225,80.78,43,81,8.05,broken clouds
128,Mataura,NZ,-46.1927,168.8643,47.48,99,25,5.55,light rain
129,Port Elizabeth,ZA,-33.918,25.5701,65.32,96,75,8.05,broken clouds
130,Kalemie,CD,-5.9475,29.1947,77.41,57,94,3.11,overcast clouds
131,Thaba Nchu,ZA,-29.2093,26.839,63.99,10,0,1.88,clear sky
132,Nabire,ID,-3.3667,135.4833,74.89,89,87,3.22,overcast clouds
133,Ukiah,US,39.1502,-123.2078,86.38,67,100,6.91,overcast clouds
134,Remanso,BR,-9.6179,-42.0831,89.89,30,12,10.18,few clouds
135,Bardiyah,LY,31.7561,25.0865,75.4,59,0,26.51,clear sky
136,Norman Wells,CA,65.282,-126.8329,32.04,93,75,6.91,broken clouds
137,Lujan,AR,-34.5703,-59.105,84.02,35,5,4.0,clear sky
138,Lesozavodsk,RU,45.4794,133.4244,52.66,94,4,5.73,clear sky
